"5","Akron","11/13/08","86","Buffalo","40","43","Home"
"5","Akron","11/22/08","519","Ohio","42","49","Away"
"5","Akron","11/28/08","690","Temple","6","27","Away"
"5","Akron","11/05/08","709","Toledo","47","30","Home"
"5","Akron","10/18/08","204","Eastern Mich.","42","35","Away"
"5","Akron","09/06/08","688","Syracuse","42","28","Away"
"5","Akron","10/04/08","331","Kent St.","30","27","Away"
"5","Akron","09/27/08","140","Cincinnati","15","17","Home"
"5","Akron","09/20/08","725","Army","22","3","Away"
"5","Akron","09/13/08","47","Ball St.","24","41","Home"
"5","Akron","08/30/08","796","Wisconsin","17","38","Away"
"5","Akron","10/11/08","71","Bowling Green","33","37","Home"
"8","Alabama","09/13/08","772","Western Ky.","41","7","Home"
"8","Alabama","11/29/08","37","Auburn","36","0","Home"
"8","Alabama","11/15/08","430","Mississippi St.","32","7","Home"
"8","Alabama","11/08/08","365","LSU","27","21","Away"
"8","Alabama","11/01/08","30","Arkansas St.","35","0","Home"
"8","Alabama","10/25/08","694","Tennessee","29","9","Away"
"8","Alabama","10/18/08","433","Mississippi","24","20","Home"
"8","Alabama","10/04/08","334","Kentucky","17","14","Home"
"8","Alabama","08/30/08","147","Clemson","34","10","Away"
"8","Alabama","09/20/08","31","Arkansas","49","14","Away"
"8","Alabama","09/27/08","257","Georgia","41","30","Away"
"8","Alabama","01/02/09","732","Utah","17","31","Neutral Site"
"8","Alabama","12/06/08","235","Florida","20","31","Away"
"8","Alabama","09/06/08","718","Tulane","20","6","Home"
"9","UAB","11/01/08","664","Southern Miss.","14","70","Away"
"9","UAB","11/15/08","718","Tulane","41","24","Away"
"9","UAB","09/20/08","7","Alabama St.","45","10","Home"
"9","UAB","09/13/08","694","Tennessee","3","35","Away"
"9","UAB","09/06/08","229","Fla. Atlantic","34","49","Away"
"9","UAB","09/27/08","648","South Carolina","13","26","Away"
"9","UAB","11/29/08","128","UCF","15","0","Away"
"9","UAB","08/30/08","719","Tulsa","22","45","Home"
"9","UAB","10/18/08","388","Marshall","23","21","Home"
"9","UAB","10/09/08","288","Houston","20","45","Away"
"9","UAB","10/02/08","404","Memphis","30","33","Home"
"9","UAB","11/22/08","196","East Carolina","13","17","Home"
"28","Arizona St.","09/06/08","674","Stanford","41","17","Home"
"28","Arizona St.","09/13/08","465","UNLV","20","23","Home"
"28","Arizona St.","09/20/08","257","Georgia","10","27","Home"
"28","Arizona St.","10/04/08","107","California","14","24","Away"
"28","Arizona St.","10/11/08","657","Southern California","0","28","Away"
"28","Arizona St.","10/25/08","529","Oregon","20","54","Home"
"28","Arizona St.","11/01/08","528","Oregon St.","25","27","Away"
"28","Arizona St.","11/08/08","756","Washington","39","19","Away"
"28","Arizona St.","11/15/08","754","Washington St.","31","0","Home"
"28","Arizona St.","11/28/08","110","UCLA","34","9","Home"
"28","Arizona St.","12/06/08","29","Arizona","10","31","Away"
"28","Arizona St.","08/30/08","501","Northern Ariz.","30","13","Home"
"29","Arizona","08/30/08","295","Idaho","70","0","Home"
"29","Arizona","09/06/08","709","Toledo","41","16","Home"
"29","Arizona","09/13/08","473","New Mexico","28","36","Away"
"29","Arizona","09/20/08","110","UCLA","31","10","Away"
"29","Arizona","10/04/08","756","Washington","48","14","Home"
"29","Arizona","10/11/08","674","Stanford","23","24","Away"
"29","Arizona","12/20/08","77","BYU","31","21","Neutral Site"
"29","Arizona","10/25/08","657","Southern California","10","17","Home"
"29","Arizona","11/08/08","754","Washington St.","59","28","Away"
"29","Arizona","11/15/08","529","Oregon","45","55","Away"
"29","Arizona","11/22/08","528","Oregon St.","17","19","Home"
"29","Arizona","12/06/08","28","Arizona St.","31","10","Home"
"29","Arizona","10/18/08","107","California","42","27","Home"
"30","Arkansas St.","08/30/08","697","Texas A&M","18","14","Away"
"30","Arkansas St.","09/06/08","699","Texas Southern","83","10","Home"
