k,score
1,0.5521646557842441
1,0.555180979418027
1,0.5388573456352023
1,0.5521646557842441
1,0.5468417317246274
1,0.5580198722498225
1,0.562278211497516
1,0.5489709013484741
1,0.5608587650816181
1,0.5619233498935415
1,0.5610361958836054
1,0.5537615330021292
1,0.5573101490418737
1,0.5502129169623847
1,0.5626330731014905
1,0.556777856635912
1,0.5594393186657204
1,0.5633427963094393
1,0.5587295954577715
1,0.5596167494677076
1,0.5420511000709723
1,0.5592618878637331
1,0.5585521646557843
1,0.5466643009226402
1,0.5546486870120653
1,0.5526969481902059
1,0.5418736692689851
1,0.5566004258339248
1,0.5518097941802697
1,0.5525195173882186
1,0.5592618878637331
1,0.5429382540809085
1,0.5534066713981547
1,0.5342441447835344
1,0.5447125621007807
1,0.5592618878637331
1,0.551277501774308
1,0.5661816891412349
1,0.5629879347054648
1,0.5418736692689851
1,0.5486160397444997
1,0.5532292405961675
1,0.5580198722498225
1,0.5452448545067423
1,0.5596167494677076
1,0.544180269694819
1,0.5601490418736693
1,0.5560681334279631
1,0.5597941802696949
1,0.5360184528034067
1,0.5514549325762953
1,0.5557132718239887
1,0.5502129169623847
1,0.5626330731014905
1,0.5532292405961675
1,0.5707948899929027
1,0.5416962384669979
1,0.5624556422995032
1,0.5521646557842441
1,0.5587295954577715
1,0.5569552874378992
1,0.552874378992193
1,0.5613910574875799
1,0.5484386089425124
1,0.5603264726756565
1,0.5404542228530873
1,0.5585521646557843
1,0.562278211497516
1,0.5566004258339248
1,0.5644073811213627
1,0.5700851667849539
1,0.5553584102200142
1,0.5557132718239887
1,0.576472675656494
1,0.5574875798438609
1,0.551277501774308
1,0.5601490418736693
1,0.5468417317246274
1,0.5560681334279631
1,0.5489709013484741
1,0.5523420865862314
1,0.5455997161107168
1,0.5677785663591199
1,0.5548261178140526
1,0.5587295954577715
1,0.5668914123491838
1,0.5578424414478353
1,0.5580198722498225
1,0.5516323633782825
1,0.5580198722498225
1,0.5511000709723208
1,0.5569552874378992
1,0.5397444996451384
1,0.5576650106458482
1,0.5377927608232789
1,0.5416962384669979
1,0.5546486870120653
1,0.5592618878637331
1,0.5477288857345636
1,0.5491483321504613
2,0.552874378992193
2,0.5484386089425124
2,0.5534066713981547
2,0.5534066713981547
2,0.5558907026259758
2,0.5573101490418737
2,0.5548261178140526
2,0.5695528743789922
2,0.5550035486160397
2,0.5525195173882186
2,0.5443577004968062
2,0.5613910574875799
2,0.556777856635912
2,0.5668914123491838
2,0.5667139815471965
2,0.5486160397444997
2,0.5455997161107168
2,0.5473740241305891
2,0.5516323633782825
2,0.5521646557842441
2,0.5480837473385379
2,0.5450674237047551
2,0.563875088715401
2,0.5656493967352733
2,0.5608587650816181
2,0.5558907026259758
2,0.5544712562100781
2,0.5438254080908446
2,0.563875088715401
2,0.5487934705464869
2,0.559971611071682
2,0.5608587650816181
2,0.5585521646557843
2,0.5473740241305891
2,0.5544712562100781
2,0.5509226401703335
2,0.562278211497516
2,0.5525195173882186
2,0.5495031937544358
2,0.5652945351312988
2,0.5667139815471965
2,0.5624556422995032
2,0.5466643009226402
2,0.5574875798438609
2,0.5578424414478353
2,0.5502129169623847
2,0.5560681334279631
2,0.5629879347054648
2,0.5480837473385379
2,0.5581973030518098
2,0.5576650106458482
2,0.5542938254080908
2,0.5454222853087296
2,0.5484386089425124
2,0.558374733853797
2,0.5521646557842441
2,0.5432931156848829
2,0.5589070262597587
2,0.5610361958836054
2,0.5629879347054648
2,0.5532292405961675
2,0.5530518097941802
2,0.5542938254080908
2,0.5486160397444997
2,0.5466643009226402
2,0.5550035486160397
2,0.5603264726756565
2,0.5509226401703335
2,0.5521646557842441
2,0.5514549325762953
2,0.5562455642299503
2,0.5573101490418737
2,0.5486160397444997
2,0.5546486870120653
2,0.5503903477643719
2,0.5486160397444997
2,0.5411639460610362
2,0.5509226401703335
2,0.559971611071682
2,0.5440028388928317
2,0.5495031937544358
2,0.5594393186657204
2,0.5502129169623847
2,0.5480837473385379
2,0.5539389638041164
2,0.5477288857345636
2,0.5463094393186657
2,0.553584102200142
2,0.5516323633782825
2,0.5487934705464869
2,0.5489709013484741
2,0.556777856635912
2,0.5424059616749468
2,0.5612136266855926
2,0.5601490418736693
2,0.567068843151171
2,0.5498580553584103
2,0.5475514549325763
2,0.5557132718239887
2,0.5550035486160397
3,0.578069552874379
3,0.5773598296664301
3,0.5722143364088006
3,0.5814407381121363
3,0.5826827537260468
3,0.5787792760823279
3,0.5707948899929027
3,0.5791341376863024
3,0.5817955997161107
3,0.5801987224982257
3,0.5798438608942512
3,0.5722143364088006
3,0.5722143364088006
3,0.5691980127750177
3,0.5849893541518808
3,0.580376153300213
3,0.5706174591909156
3,0.5734563520227112
3,0.5833924769339958
3,0.5743435060326473
3,0.5645848119233499
3,0.5755855216465579
3,0.563875088715401
3,0.567068843151171
3,0.5683108587650816
3,0.5635202271114266
3,0.5676011355571328
3,0.5652945351312988
3,0.5722143364088006
3,0.5649396735273243
3,0.5681334279630944
3,0.5731014904187367
3,0.5805535841022001
3,0.5629879347054648
3,0.5768275372604684
3,0.5789567068843151
3,0.5663591199432222
3,0.567068843151171
3,0.5720369056068133
3,0.5771823988644429
3,0.5759403832505323
3,0.5791341376863024
3,0.5759403832505323
3,0.5725691980127751
3,0.5729240596167494
3,0.5690205819730305
3,0.5660042583392477
3,0.5560681334279631
3,0.5668914123491838
3,0.580376153300213
3,0.5707948899929027
3,0.5665365507452094
3,0.5635202271114266
3,0.5770049680624556
3,0.5872959545777147
3,0.5805535841022001
3,0.5727466288147622
3,0.5663591199432222
3,0.5651171043293116
3,0.5644073811213627
3,0.5817955997161107
3,0.5778921220723917
3,0.5768275372604684
3,0.5865862313697658
3,0.5762952448545068
3,0.5676011355571328
3,0.5748757984386089
3,0.5739886444286728
3,0.57416607523066
3,0.5773598296664301
